sn_name,sn_type,band,A,phi,sigma,k
SN2018etk,Ic,G,,,,
SN2020aauc,Ic,G,1.1535747741877216,59198.790570000005,45.67091559394366,0.10000000000000002
SN2020byp,Ic,G,1.2755367152737265,58895.85750000002,30.055311935949952,0.10000000017449168
SN2021agqw,Ic,G,1.2687245589313407,59568.53949000004,31.46507764135005,0.10000000000385892
SN2007C,Ib,i',1.2355720647416264,54113.907549923206,23.535364269809318,0.10000000000004261
SN2007C,Ib,r',1.2189297603966631,54113.27045752267,22.1402459271217,0.10000000000000002
SN2005gt,Ic,g',1.4836374587859724,53634.36266788589,15.616110953927771,0.10016756357459436
SN2005gt,Ic,i',1.2083439787145238,53634.25761302223,28.416822409187898,0.10000000000000006
SN2005gt,Ic,r',1.427365021732683,53633.41100989017,16.433312607556005,0.3940101972095516
SN2005gt,Ic,u',1.0178868829018668,53627.36994160308,42.8005503707673,0.10009566483480904
SN2005gt,Ic,z',0.7799193323959703,53632.49240142877,125.46519556222356,0.10000000000000002
SN2019smi,Ic,G,,,,
SN2004gt,Ib_c,i',1.237355814686984,53380.47221000001,26.587304776246196,0.10000000000000002
SN2004gt,Ib_c,r',1.1021875063230477,53380.470830000006,37.84211719968256,0.10000000000000002
2007ag,Ib,i',1.233656921850996,54168.26721697421,24.577983392446004,0.10000000000000002
2007ag,Ib,r',1.2884857810683619,54164.48204591183,24.392124813209495,0.10000000000000002
SN2017hix,Ic,G,1.2614847212634372,58035.552986893446,52.21003075524263,0.10000000000000002
SN2017ewx,Ib,G,1.8105209562475724,57923.71436720522,55.609910121159075,0.10000444245849628
2008D,Ib,i',1.1090708937098281,54479.00779561985,19.445160637483873,0.777538858230767
2008D,Ib,r',1.096227947078632,54478.89348013354,17.08436858602943,0.7988505285328962
SN2020bmj,Ib,G,,,,
SDSS-II SN 15757,Ib_c,g',1.0466163451540648e-15,54004.27906066687,2.899586942082732,13.294612600411511
SDSS-II SN 15757,Ib_c,i',1.0979108091035122e-15,53999.96170593697,3.6787844072988403,13.276934164879593
SDSS-II SN 15757,Ib_c,r',1.0662226132106078e-15,54002.21956946068,3.340135702451844,13.301025527987024
SDSS-II SN 15757,Ib_c,u',1.0960565397286823e-15,54002.998174724795,2.944329226428879,13.281045550662416
SDSS-II SN 15757,Ib_c,z',1.1099249275702889e-15,53977.68949917916,5.541374428132106,13.256057457926012
SN2022baz,Ic,G,,,,
SDSS-II SN 20866,Ib_c,g',5.619941782662461e-10,54384.741072273515,1.7470962782844914,9.455382683832536
SDSS-II SN 20866,Ib_c,i',1.1318222126419937e-15,54356.61230217877,4.009061024927279,13.239940343717413
SDSS-II SN 20866,Ib_c,r',1.1182298251682647,54402.2505979095,23.283355046028802,0.10000000000863664
SDSS-II SN 20866,Ib_c,u',4.735123041573094,54394.344254123156,3.4796356052585873,0.4046587447036182
SDSS-II SN 20866,Ib_c,z',0.7457664941125344,54379.34771314852,110.84161868453249,0.10000000000560953
SDSS-II SN 6367,Ib_c,g',1.0103256967272567,53649.1136118439,20.509261840244893,0.10005823216619145
SDSS-II SN 6367,Ib_c,i',0.9656301454608626,53668.024712486425,25.904954910721703,0.10000000000023432
SDSS-II SN 6367,Ib_c,r',1.6142278255592235,53653.91287808595,10.684060439704128,0.4679198122916917
SDSS-II SN 6367,Ib_c,u',0.5569690741882104,53618.154050000005,106.44965128256008,0.10000000000001047
SDSS-II SN 6367,Ib_c,z',0.6542791643364347,53640.231910242146,199.99999994832734,0.24082036589181496
SN2015K,Ic,G,1.2421563382467247,57141.64751000001,21.815886792621907,0.10000000000000002
2006el,Ib,i',1.2776889837088263,53979.463260000004,32.40869001878875,0.10000000000000002
2006el,Ib,r',1.2374752300750669,53979.46557000001,26.27846568030559,0.10000000000000256
SN2007kj,Ib_c,i',1.2423615216012425,54377.11249251324,24.937210329613972,0.10000000000003473
SN2007kj,Ib_c,r',1.21728223400786,54377.10060866706,19.96110206694649,0.10000000000129233
SDSS-II SN 5339,Ib_c,g',0.7494969573423462,53635.29121026175,10.158450934482893,1.2865101928547804
SDSS-II SN 5339,Ib_c,i',1.5638207634566628,53644.877902659566,19.312842140631943,0.1999246749838296
SDSS-II SN 5339,Ib_c,r',1.4311924668191296,53645.183039725445,25.225063908834343,0.10000000105879576
SDSS-II SN 5339,Ib_c,u',0.6908614113467071,53636.13170382842,25.16454650266829,0.10002456446317608
SDSS-II SN 5339,Ib_c,z',1.206483016000431,53636.133216858885,54.21844727907217,0.14305360911558432
SDSS-II SN 20874,Ib_c,g',1.4103783538453099,54402.2859275188,17.635345757410292,0.4698175801616893
SDSS-II SN 20874,Ib_c,i',0.019252730343367566,54399.16284700868,5.295066446100484,3.271963047828371
SDSS-II SN 20874,Ib_c,r',1.1229682100181129,54418.20503,10.825980000000223,2.0
SDSS-II SN 20874,Ib_c,u',1.8961816053559335,54394.28457571054,9.089053297487625,0.257606042133072
SDSS-II SN 20874,Ib_c,z',1.2047072027056078e-15,54376.583558646606,3.507958838804718,13.261589803428492
2005kz,Ic,i',1.2129983459671783,53709.26452758283,38.529360890394756,0.10000000000000002
2005kz,Ic,r',1.2946493605054328,53705.064880000005,30.426161499057454,0.13184395765961937
SDSS-II SN 11241,Ib_c,g',1.0947886241296228e-15,53671.96058747348,1.6692557058288482,13.33079776725979
SDSS-II SN 11241,Ib_c,i',0.9933071627083618,53698.38111416406,15.891033911711252,1.9872836091462915
SDSS-II SN 11241,Ib_c,r',1.2463087899571512,53687.364741565274,27.560485021331413,0.270992610287508
SDSS-II SN 11241,Ib_c,u',3.1195010299070325,53686.30876335886,4.265068545324534,0.3256617758919052
SDSS-II SN 11241,Ib_c,z',1.1394957220371523e-15,53641.22820502245,4.050793583751966,13.147829867293776
SN2021vtk,Ib,G,,,,
SDSS-II SN 19190,Ib_c,g',3.8042034048761176e-11,54341.19572000001,5.441653408195878,10.151024810541076
SDSS-II SN 19190,Ib_c,i',0.4793488585980024,54341.193230000004,67.75954893400203,1.2831549587286208
SDSS-II SN 19190,Ib_c,r',0.009283796092016208,54341.19241000001,18.491872683693156,3.575236269065453
SDSS-II SN 19190,Ib_c,u',0.9624834176505258,54431.4016128793,21.449821501860317,2.675298482268665
SDSS-II SN 19190,Ib_c,z',0.688244066504627,54341.194890000006,199.9999999997385,0.549017065772314
SN2017iwh,Ic,G,1.2521222753031158,58091.174770000005,53.99328200706189,0.10000000000174616
SN2005mf,Ic,i',1.2486676326090091,53732.58601158681,27.79259360310365,0.10000000000000012
SN2005mf,Ic,r',1.2459699703814693,53732.85851538587,20.268129350096036,0.10000000000000012
SN2019svd,Ib_c,G,1.820053009500894,58807.40067928071,6.455984615293663,2.377801739921887
SN2017hfw,Ic,G,4.852603363726741,57954.56664193405,72.13449208996747,0.10000000023197245
SN2016jag,Ib,G,3.821998698692346,57768.49746417387,13.491304992183059,0.7598824380884276
SN2020nf,Ic,G,1.6455605227078256,58853.32224681528,19.84930287010831,0.37922244417267476
SN2019wzj,Ic,G,0.8802451395926586,58846.46500564862,33.24891871192643,0.16652819431378638
SN2018cim,Ib,G,1.2415450316561913,58279.72522000001,36.486962205733995,0.10000000000000028
SN2021kos,Ib,G,0.8735823888126316,59340.0166125046,8.010238749334825,1.630168661204953
SN2022cb,Ib,G,,,,
SDSS-II SN 17107,Ib_c,g',0.27454493042999406,53970.389650000005,199.99999999489395,0.3416131547428469
SDSS-II SN 17107,Ib_c,i',4.160514282892814,54059.32426555583,0.7256285805260896,0.5489278461779714
SDSS-II SN 17107,Ib_c,r',0.9226496000013711,54010.349273452455,15.450257854525557,0.10000000000000002
SDSS-II SN 17107,Ib_c,u',0.18777508238380472,54020.35077601957,192.30319835697597,0.1135989414454036
SDSS-II SN 17107,Ib_c,z',0.7812518665460035,54024.01886952484,18.501436911882617,0.6436008886563706
SDSS-II SN 20999,Ib_c,g',0.8153275450341216,54357.34419684092,49.2865438199138,0.11258438598502125
SDSS-II SN 20999,Ib_c,i',0.7056248595334362,54347.36623552879,24.79568643317367,0.10000185330458726
SDSS-II SN 20999,Ib_c,r',0.47840644711028096,54359.37265992008,51.950974023431975,0.11097810848128023
SDSS-II SN 20999,Ib_c,u',0.9729194836171369,54422.48865721198,17.880769883895972,2.4874492949173304
SDSS-II SN 20999,Ib_c,z',0.3611571909118545,54375.228452547206,13.981973195755145,0.8599761768962298
SN2019uda,Ib_c,G,0.7930316633577078,58802.53917259171,15.032581207318165,1.5316981235765117
2007iq,Ic/Ic-BL,i',1.1172245257339126,54358.43263000001,54.06152025985291,0.10000000000000002
2007iq,Ic/Ic-BL,r',1.1039245303788932,54358.434940000174,58.05207857588026,0.10000000000000868
SN2021hrj,Ib,G,1.267394073900478,59324.2886132279,44.99043297242249,0.10000000000000007
2004fe,Ic,i',0.8428456904011675,53319.98577163312,0.569556134550511,1.6980725646628259
2004fe,Ic,r',0.9874326385295832,53320.39031224264,3.8174906480286994,1.9761220132067836
SN2018jq,Ib,G,,,,
SN2006bf,Ib,i',1.2447304566876698,53822.39201000001,21.029614948882184,0.10000000000000003
SN2006bf,Ib,r',1.2425358221180904,53822.38970000001,21.67449438702844,0.10000000000000002
2009iz,Ib,i',0.7319005649950959,55090.6842434941,18.686749875132357,1.2263824720421865
2009iz,Ib,r',0.9446876145802526,55091.82473549133,18.118570274738058,0.9957080289621698
2009iz,Ib,u',0.06187679458952174,55090.43785000001,5.615607376490715,2.586451287661262
2004gk,Ic,i',1.1272930901817908,53333.53308000001,35.030697476497636,0.10000000000000002
2004gk,Ic,r',1.1125444356053138,53333.532080000004,31.202521858217743,0.10000000000000002
SN2018oz,Ic,G,1.2450555386924615,58147.24985000026,38.60045132142797,0.10000000002059051
2006lv,Ib,i',1.1948510699473045,54038.490580000005,52.731229011833925,0.10000000000000048
2006lv,Ib,r',1.0879862266873341,54040.48866000011,52.69119288003249,0.10000000000001034
2004gq,Ib,i',1.560124298436229,53351.36433735736,34.212915745034216,0.19919998207520742
2004gq,Ib,r',1.1436980342881922,53374.20745000001,34.06392302960522,0.10000000000000002
SN2006fo,Ic,g',1.454264565142844,53992.92834570559,15.816975726393347,0.46638218714960356
SN2006fo,Ic,i',1.3107201615039985,53996.340792082294,35.87025297936263,0.16598629978649043
SN2006fo,Ic,r',1.3720500655413363,53996.40665204863,31.58858796948074,0.10000000000019142
SN2006fo,Ic,u',9.06237674574562e-16,53974.718327910894,1.8552040763434268,13.410429528176797
SN2006fo,Ic,z',1.347627576355665,53993.67498772358,43.7961624597705,0.32786678443375294
SN2020voz,Ib,G,1.2455762595709214,59154.58991000001,81.27086739100186,0.10000000000000002
SN2017fwm,Ic,G,0.6576487571640943,57965.42347775584,2.243718831287407,1.3398269514184995
SN2019azq,Ic,G,1.1824260603466266e-15,58544.16351353777,1.2987779265221981,13.358043647147156
SN2006qk,Ic,g',1.0,54068.16415,12.476166666666055,2.0
SN2006qk,Ic,i',1.0,54068.16166,12.476166666666055,2.0
SN2006qk,Ic,r',1.0,54068.16083,12.476166666667268,2.0
SN2006qk,Ic,u',1.0,54068.16249,12.476166666667268,2.0
SN2006qk,Ic,z',1.0,54068.16332,12.476166666666055,2.0
2009jf,Ib,i',1.321603743744727,55118.7294460494,29.399929985390198,0.10944075710718354
2009jf,Ib,r',1.3010424989008103,55118.69657127809,26.811446782399877,0.10000000000000045
2009jf,Ib,u',1.2609015535112509,55118.58602058888,9.461463289633725,0.1000000000346347
SN2007ru,Ic_Pec,i',1.5287755964255432,54438.99018714414,16.912249579352377,0.10000000000000106
SN2007ru,Ic_Pec,r',1.4309738706962658,54438.90817237099,15.55871493511252,0.10000000000000295
SN2008bo,Ib_c,i',1.2421510561146207,54563.40050990745,26.862279848499796,0.10000000000006493
SN2008bo,Ib_c,r',1.2587914390932846,54563.40416738268,21.612936129169874,0.10000000000001076
SN2020aers,Ib_c,G,1.2205333814197763,59208.16311000001,52.67581510398122,0.10000000000000131
SN2018isl,Ib,G,,,,
SN2005hm,Ib,g',1.500829448525502,53637.17915245139,16.700281995420024,0.10461631373273612
SN2005hm,Ib,i',1.3288473533811236,53644.09819889408,29.89923476900933,0.10000000000000007
SN2005hm,Ib,r',1.349753382735324,53643.83541008148,25.844235895291078,0.10000000000000128
SN2005hm,Ib,u',2.1924657295666834,53637.17754194279,7.662490656087545,0.12649619002852094
SN2005hm,Ib,z',1.2571106241519632,53635.83536571741,30.511540388050303,0.441500464739801
SN2022S,Ib_c,G,0.9085586235677716,59580.346280000005,5.8503471947344945,0.999262377165227
SDSS-II SN 20682,Ib_c,g',1.1135212665381171,54424.84377936854,25.99432364981524,3.072170057648991
SDSS-II SN 20682,Ib_c,i',0.4854685202341356,54403.870981966065,6.911046423121373,1.2981793127305297
SDSS-II SN 20682,Ib_c,r',2.4717214682649553,54431.25522,14.490728333334118,2.0
SDSS-II SN 20682,Ib_c,u',298.9405598067338,54385.18588469266,171.8923218969516,19.999998743709416
SDSS-II SN 20682,Ib_c,z',5.348100238012733,54431.25771,14.490728333334118,1.9999999999999996
SN2017jmj,Ic,G,1.5921918346788493,58125.27673857823,6.780777601750834,0.5035338992895715
SN2021rjj,Ib,G,1.2967393770101274,59399.49382000001,25.19823368628096,0.10000000000000005
SN2020bpf,Ib,G,1.2452188340549502,58898.203850000005,28.11515954804055,0.10000000000000002
SN2018gsk,Ic,G,1.2534043424578158,58388.25953000001,46.722243014457476,0.10000000255511068
SN2005nb,Ic,i',1.1748810417454847,53740.52534000001,34.80346206357945,0.10000000000000002
SN2005nb,Ic,r',1.1657392401617943,53740.523720000005,31.16801043186577,0.10000000000000002
SN2004gv,Ib_c,i',,,,
2005kl,Ic,i',1.2500140157876982,53698.52495991814,32.87861081174695,0.10000000000000024
2005kl,Ic,r',1.239369147120027,53698.753670281134,28.388256589551244,0.10000000000000002
2008an,Ic,i',,,,
SN2020avf,Ib,G,,,,
SN2020qbu,Ic,G,,,,
SN2021lax,Ib,G,,,,
SN2020aut,Ic,G,,,,
SN2020clr,Ic,G,1.2281722061491378,58899.003905532016,25.104289413689564,0.10002374233321173
2007gr,Ic,i',1.0676358343308012,54343.396960000005,27.56833092389102,0.10000000000000002
2007gr,Ic,r',1.0517406422791293,54342.438620000146,23.9697115657944,0.10000000004040253
Gaia21fog,Ib,G,,,,
SDSS-II SN 16768,Ib_c,g',1.344025455783053,54039.14024267578,19.55339497596556,0.10299438990978964
SDSS-II SN 16768,Ib_c,i',1.228907936004092,54039.04328060302,11.863085987573577,0.7682071277058046
SDSS-II SN 16768,Ib_c,r',1.1427756982939539,54039.13693780126,28.3252657283473,0.10576645913163918
SDSS-II SN 16768,Ib_c,u',0.9182393100176859,54036.141223002625,20.2279031166089,0.13381716412584493
SDSS-II SN 16768,Ib_c,z',1.142752414332625e-15,53998.58366279142,4.034470120020789,13.176685589288903
SDSS-II SN 19045,Ib_c,g',0.9915443992368316,54373.044058718384,31.919653999448705,0.10000000001256952
SDSS-II SN 19045,Ib_c,i',0.9503197457342489,54373.19623208215,67.16782057444699,0.10000000000031585
SDSS-II SN 19045,Ib_c,r',0.7695693178070065,54372.32476719801,53.518615618761366,0.10000000000003079
SDSS-II SN 19045,Ib_c,u',0.5509290001694095,54373.20332780139,24.98786287919439,0.15716667252192293
SDSS-II SN 19045,Ib_c,z',0.615097934657531,54373.20416442391,47.10255879361035,0.11757010600038227
SDSS-II SN 16282,Ib_c,g',0.7285114031071885,54040.262671064316,55.132697958388725,0.103384518656593
SDSS-II SN 16282,Ib_c,i',0.8461956419362514,54035.63009748577,13.209218343727558,1.121462985675855
SDSS-II SN 16282,Ib_c,r',0.07688577006240759,54030.54353288207,8.102084952363612,2.5490415518850367
SDSS-II SN 16282,Ib_c,u',0.6039160368827663,54008.1895821382,40.40495193982685,0.3348876939032678
SDSS-II SN 16282,Ib_c,z',1.052181812278956e-15,54014.467367484154,2.805150943320611,13.262258530762267
SN2021njk,Ib,G,1.2512797016312367,59369.27212000001,32.25894345076395,0.10000000000000002
SN2019dwy,Ic,G,,,,
SDSS-II SN 14661,Ib_c,g',1.3286682414421633,54000.36626929615,15.337529035274695,0.10000000000004516
SDSS-II SN 14661,Ib_c,i',0.41008817720552443,54025.41224743667,14.813890953441687,0.10978753414738243
SDSS-II SN 14661,Ib_c,r',1.3029618889031573,54000.37207184726,19.85607364303543,0.10000000316045828
SDSS-II SN 14661,Ib_c,u',0.33225744912764565,53970.38797000001,199.99999999999997,1.301781806656441
SDSS-II SN 14661,Ib_c,z',0.9662060152185975,54063.65483660778,19.46618387549459,2.190615023152325
SN2006cb,Ib,i',1.3921139687528674,53858.209220000004,15.260410980644215,0.100000000000555
SN2006cb,Ib,r',1.373284401103936,53860.86535820195,11.480282707902317,0.19719248383584653
SN2018ie,Ic,G,,,,
SDSS-II SN 20552,Ib_c,g',0.00782054701347409,54387.78731337222,5.417614847389342,3.647164659768445
SDSS-II SN 20552,Ib_c,i',1.0480691280711751,54392.026842568266,19.49228336786146,0.9566177046185026
SDSS-II SN 20552,Ib_c,r',0.09435551741376479,54391.65077062685,8.514898608956932,2.4539200072016984
SDSS-II SN 20552,Ib_c,u',0.8446997497619125,54357.26814018432,33.04313819211858,0.10328404815516702
SDSS-II SN 20552,Ib_c,z',1.6754395687188275,54352.26858000001,199.99999998976145,2.2650779203198965
SDSS-II SN 8196,Ib_c,g',0.6767065627221232,53667.0026572917,7.590567848230349,1.2442273924491225
SDSS-II SN 8196,Ib_c,i',1.0366831563274168,53669.41992610163,14.259600097198044,0.7320717267229263
SDSS-II SN 8196,Ib_c,r',0.9825113330882054,53669.03707127371,11.280187230088213,0.9408760100859109
SDSS-II SN 8196,Ib_c,u',0.6649383713893159,53668.17781441456,46.98777314677721,0.10101903016959268
SDSS-II SN 8196,Ib_c,z',1.909241022113859,53702.14949,14.649563333333704,2.0000000000000018
SN2019buy,Ib,G,1.337309991012031,58583.786482291645,67.74449256973898,0.14569839659231726
SN2007qw,Ic,g',1.659888272488646,54402.2632793535,11.235781140243361,0.1199799911549445
SN2007qw,Ic,i',1.3320980220747227,54407.34794383013,22.87200054488349,0.20188440814208175
SN2007qw,Ic,r',1.0589046770048396e-15,54385.23257209434,2.0270085602769012,13.314281546931664
SN2007qw,Ic,u',2.741237140397105,54394.25278017403,5.572966029295006,0.29286811491043513
SN2007qw,Ic,z',1.0,54424.16723,12.65209166666682,2.0
SN2016ghi,Ic,G,1.395873613302303,57643.92798681192,35.818959180442626,0.1000000000000127
SDSS-II SN 10396,Ib_c,g',0.581916152594496,53664.19965512734,16.88682296152534,0.15744491077101305
SDSS-II SN 10396,Ib_c,i',0.9482896162338419,53700.662557823875,23.441841180013963,2.9307869078086535
SDSS-II SN 10396,Ib_c,r',2.4261928222605604,53666.159851555974,2.8796620437660287,0.10002231150578832
SDSS-II SN 10396,Ib_c,u',0.35551995843824225,53617.248380000005,199.99999999999207,0.10000000000000002
SDSS-II SN 10396,Ib_c,z',0.42101832112945053,53646.57774634026,33.46784830419454,0.9209438052570752
SN2020zgl,Ib,G,1.2588453882825144,59188.82209000001,32.7163538447032,0.10000000000137942
2005az,Ic,i',1.246107709413826,53471.774892893496,35.9225766774886,0.10821538848556922
2005az,Ic,r',1.2476121758326513,53467.73029347596,36.12865941236929,0.10000000000000002
SN2006gi,Ic,i',1.1725776125197482,54002.48100000001,36.433048869013525,0.10000000000000002
SN2006gi,Ic,r',1.1278074963087334,54002.484000000004,39.00105769921778,0.10000000000000002
SN2009er,Ib,i',1.301893260604963,54975.45978000002,14.008811069751829,0.6846503277879605
SN2009er,Ib,r',1.4253326540625268,54977.64099561302,12.913200555988496,0.4533340493142609
SN2019dwa,Ic,G,,,,
SN2017ein,Ic,G,1.6666054120038878,57900.41851280826,47.076276766586844,0.2637770538929535
SDSS-II SN 16085,Ib_c,g',1.1325414185473785e-15,54014.8455987952,1.831425695369114,13.218359388258834
SDSS-II SN 16085,Ib_c,i',1.0395384386216058,54030.74820995737,28.390027713063667,0.17477220096397747
SDSS-II SN 16085,Ib_c,r',1.3870773868637236,54029.27187730809,21.572315479082864,0.37556948433818066
